NO.,Name of health facility,Telephone number,Email Address,Street Address,Municipality,Expiry Date,Sector of health facility,Head of the facility,Region,Province
1030,World Citi Medical Center,234384580,"inquiry@worldcitimedicalcenter.co
m",960 AURORA BLVD,QUEZON CITY,31/12/2026,P,"Reymond A. Mora, Md",NATIONAL CAPITAL REGION & RIZAL,NCR CENTRAL
1088,"Center Valenzuela, Incallied Care Experts (Ace) Medical Center",253220400,"ACEMCMANDALUYONG@GMAIL.C
OM",145 HAIG STREET DAANG BAKAL,MANDALUYONG CITY,31/12/2025,P,"Mario Jacinto A. Rapadas, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1090,Centeramosup Clinic - Manila,8527-8116,shospadmin_mnl@amosup.org,CABILDO ST. COR SAN JOSE STS,"INTRAMUROS, MANILA",31/12/2027,P,"Alejandro P. Ortigas, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1091,Amparo Health Center,8426-3167,amparohc@yahoo.com,"MANGGA ST COR BANABA AMPARO
SUBD BGY 179",CALOOCAN CITY,31/12/2025,G,"Caroline B. Español, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1092,Ana Health Center,4263143,anasuperhc@gmail.com,"18 KAPANDIG ST., DAGAT DAGATAN",CALOOCAN CITY,31/12/2025,G,"Amado M. Mendoza Jr., Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1093,"Arkong Bato 3S Health Station/ 
City",8352-1000,valenzuelahealth@gmail.com,1166 MHDP ST. ARKONG BATO,VALENZUELA CITY,31/12/2025,G,"Joezelle H. Salunga, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1097,Bacood Health Center,8746869,bacoodhealthcenter@gmail.com,"DALISAY ST CORNER LAKAS ST BRGY
624","SANTA MESA, MANILA",31/12/2025,G,"Maria Eloisa Lorenzana Taday,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1099,"Bagbaguin 3S Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,3S A MARIANO STREET BAGBAGUIN,VALENZUELA CITY,31/12/2025,G,"Alberto Guinto, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1106,"Bagumbong Dulo Health 
Center",8809-2129,bagumbongdulohc@gmail.com,"LOT 3 BLK 65 NORTHVILLE 2B
BAGUMBONG DULO",CALOOCAN CITY,31/12/2025,G,"Jennie Rose J. Manuel, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1107,"Balangkas 3S Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,1 SAMPAGUITA STREET BALANGKAS,VALENZUELA CITY,31/12/2025,G,"Gian Franco B. Saldonido, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1113,"Bignay 3S Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,"GULOD STREET DISIPLINA VILLGE
BIGNAY",VALENZUELA CITY,31/12/2025,G,"Giovanni Navata, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1114,"Bignay Main Health Center/City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,HULO ST. BIGNAY,VALENZUELA CITY,31/12/2025,G,"Ser Bryon Gallenero, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1121,Brgy 118/120 Health Center,8655-6851,brgy.120hc@gmail.com,192 EAST 2ND AVENUE,CALOOCAN CITY,31/12/2025,G,"Arlyn E. Gonzales, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1124,Brixton Health Center,8655-1127,brixtonbrgy175hctr@gmail.com,FIREBIRD ST BRIXTONVILLE BGY 175,CALOOCAN CITY,31/12/2025,G,"Kate Alexis C. Fausto, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1125,Bt Diagnostic Clinic,8463-1337,admin@btdiagnostic.com,"2F CALOOCAN CITY HALL
COMMERICIAL COMPLEX 8TH AVE",CALOOCAN CITY,31/12/2025,P,"Jeannie I. Andrade, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1128,Calaanan Health Center,5188092,calaanan027hc@gmail.com,113 NADURATA ST BGY 57,CALOOCAN CITY,31/12/2025,G,"Alessandra Caranina N.
Decapia, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1129,Calabash Health Center,8781-2024,"calabashhealthcenter04@gmail.co
m",2111 SOBRIEDAD ST BGY 534,"SAMPALOC, MANILA",31/12/2025,G,"Joann E. Enaje, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1131,Caloocan City Medical Center,31003083107925,CCMC.2013@YAHOO.COM,450 A. MABINI STREET CALOOCAN CITY,CALOOCAN CITY,31/12/2026,G,"Fernando S. Santos, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1134,"Canumay East 3S Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,"COR. MARTON ROAD & TRINIDAD
STREET CANUMAY EAST",VALENZUELA CITY,31/12/2025,G,"Susan Cano, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1135,"Government Of Valenzuelacanumay West Health 
Station/City Government Of 
Valenzuela",8352-1000,valenzuelahealth@gmail.com,T SANTIAGO ST CANUMAY WEST,VALENZUELA CITY,31/12/2025,G,"Karina Marie P. Enero, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1136,"Chinese General Hospital And 
Medical",8711-4141,cghmedicaldirector@gmail.com,286 BLUMENTRITT ST.,"SANTA CRUZ, MANILA",31/12/2027,P,"George N. Co Jr., Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1137,Centercielito Health Center,82884438,cielitohealthcenter@gmail.com,"MOLAVE ST. CRISTINA HOMES, BRGY
177",CALOOCAN CITY,31/12/2025,G,"Donnallyn I. Ani, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1138,"City Government Employees'  
Clinic",8527-4960,mhdcgec@gmail.com,"RM 101 GROUND FLOOR EAST WING
MANILA CITY HALL","ERMITA, MANILA",31/12/2025,G,"Regina M. Bartolome, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1139,"City Government Of Malabon/ 
Catmon",8353-2079,mausagutinmd@gmail.com,SANCIANGCO ST. CATMON,MALABON,31/12/2025,G,"Maureen S. Ruiz, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1140,"Super Health Centercity Government Of Malabon/ 
Longos",8645-2223,longoshc@gmail.com,BLK 10 HITO ST. LONGOS,MALABON,31/12/2025,G,"Wilfredo P. Marquez, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1141,"Super Health Centercity Government Of Malabon/ 
Potrero",8350-6086,"potrerosuperhc.malabon@gmail.co
m","DURIAN ROAD, POTRERO",MALABON,31/12/2025,G,"Remedios A. Sutiangso, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1142,"Super Health Centercity Government Of Malabon/ 
Tonsuya",8372-7772,"tonsuyasuperhealthcenter@gmail.c
om",A. ROQUE ST. TONSUYA,MALABON,31/12/2025,G,"Abraham S.J Gan, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1143,"Super Health Centercity Government Of Navotas 
(Bagong",8281-6565,city.health@navotas. gov.ph,LOS MARTIREZ ST SAN JOSE,NAVOTAS,31/12/2027,G,"Rhea Concepcion M. Ruiz, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1144,"Lipunan Health Center)City Government Of Navotas 
(Bagumbayan North Health 
Center)",8281-6565,city.health@navotas.gov.ph,"P CADORNIGA ST COR C4 RD BAGUMBAYAN 
NORTH",NAVOTAS,31/12/2027,G,"Alma R. Lalic, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1145,"City Government Of Navotas
(Bangkulasi Health Center)",8281-6565,city.health@navotas.gov.ph,ALPHA ST. BANGKULASI,NAVOTAS,31/12/2025,G,"Antonio C. Pasco Iii, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1146,"City Government Of Navotas
(Kaunlaran Village Health",8281-6565,city.health@navotas.gov.ph,"BANGUS ST NORTHBAY BLVD SOUTH
KAUNLARAN VILLAGE",NAVOTAS,31/12/2027,G,"Analinda S. Apostol, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1148,"City Government Of Navotas 
(North Bay Blvd North Health 
Center)",8281-6565,city.health@navotas.gov.ph,PESCADOR 2 NORTHBAY BLVD NORTH,NAVOTAS,31/12/2027,G,"Elenita N. Felipe, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1149,"City Government Of Navotas 
(North Bay Boulevard South 
Proper Health",8281-6565,city.health@navotas.gov.ph,LOT 9 BLK 25 ANTHRURIUM ST NBBS PROPER,NAVOTAS,31/12/2027,G,"Jacqueline R. Inventor, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1150,"City Government Of Navotas 
(Phase 2 Area1 Nbbs Health 
Center)",8281-6565,city.health@navotas.gov.ph,"PH 2 AREA 1 LANGARAY ST BRGY NORTH BAY 
BLVD SOUTH",NAVOTAS,31/12/2027,G,"Ferdinand M. Salvadora, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1151,"City Government Of Navotas 
(San",8281-6565,city.health@navotas.gov.ph,GOV PASCUAL ST SAN ROQUE,NAVOTAS,31/12/2027,G,"Henry B. Tinio, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1152,"Roque Health Center)City Government Of Navotas 
(Sipac",8283-7415,city.health@navotas.gov.ph,"A. SANTIAGO ST., SIPAC-ALMACEN,",NAVOTAS,31/12/2027,G,Czarina R. Fraxido,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1153,"Almacen Health Center)City Government Of Navotas 
(Tangos",8281-6565,city.health@navotas.gov.ph,A. CRUZ ST TANGOS SOUTH,NAVOTAS,31/12/2027,G,"Elmer E. Pangilinan, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1154,"Health Center)City Government Of Navotas 
(Tanza 2",8283-7415,city.health@navotas.gov.ph,"NAVOHOMES 1 TANZA 2,",NAVOTAS,31/12/2027,G,"Christine Mearille C. Siapno,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1155,"Health Center)City Government Of Navotas 
(Tanza Health Center)",8281-6565,city.health@navotas.gov.ph,"DOÑA AURORA ST COR SAMPAGUITA ST 
MERVILLE SUBDTANZ",NAVOTAS,31/12/2027,G,"Ela E. Capistrano, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1156,"Coloong Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,M. RAMOS ST. COLOONG,VALENZUELA CITY,31/12/2025,G,"Alexander Magmanlac, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1157,"Concepcion Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,"CONCEPCION STREET COR HIGHWAY
STREET",VALENZUELA CITY,31/12/2025,G,"Christal Kaye B. Caba, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1160,"Dalandanan Health Center/City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,"177 MC ARTHUR HIGHWAY
DALANDANAN",VALENZUELA CITY,31/12/2025,G,"Joseph Carl B. Lunizo, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1161,Dapitan Health Center,5310-1317,healthcenterdapitan@gmail.com,"PIY MARGAL ST. COR. INSTRUCCION
ST., BRGY. 520","SAMPALOC, MANILA",31/12/2025,G,"Paz Gienevieve A. Herrera, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1167,"Dr. Mariano Icasiano Health 
Center",8564-0779,micasianohc1806@gmail.com,"1806 PEDRO GIL ST., BRGY. 812","PACO, MANILA",31/12/2025,G,"Allan L. Purugganan, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1168,And Lying-In Clinice. Rodriguez Health Center,0283-517-675,eulogiorod123@gmail.com,"VIOLETA ST., 11TH AVE. BRGY. 98",CALOOCAN CITY,31/12/2025,G,"Patricia Mariz O. Tolentino,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1169,"Elysian Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,ELYSIAN SUBD MARULAS,VALENZUELA CITY,31/12/2025,G,"Mizpah Grace V. Ochoa-Reyes,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1170,"Esmao Medical And Diagnostic 
Clinic",282522711,ESMAOMDC@GMAIL.COM,106 PANGHULO ROAD,MALABON,31/12/2025,P,Don Reyan D. Punzalan,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1171,Esperanza Health Center,8715-7028,esperanzahealthcenter2000@gmail .com,"286 TERESA ST,","SANTA MESA, MANILA",31/12/2025,G,"Julius P. Manalad, Md.",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1175,Francisco Health Center,8287-9328,"franciscohealthcenter01@gmail.co
m",124 ESGUERRA ST BRGY 75,CALOOCAN CITY,31/12/2025,G,"Mobby Mae F. Embuscado, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1176,"Gat Andres Bonifacio Medical 
Center",8243-8845,"gatandresbonifaciommc@ymail.co
m",8001 DELPAN TONDO BARANGAY 12,"TONDO, MANILA",31/12/2025,G,Dr. Teodoro E. Martin,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1177,"Gen. T De Leon 3S Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,M DELOS REYES STREET GEN T DE LEON,VALENZUELA CITY,31/12/2025,G,"Nicole Lanz S. Dueñas, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1178,"Government Of Valenzuelagen. T. De Leon I Health 
Center/City Government Of 
Valenzuela",8352-1000,valenzuelahealth@gmail.com,ALBA ST GEN T DE LEON ROAD,VALENZUELA CITY,31/12/2025,G,"Lombard Agustin Saligumba, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1179,Grace Park Health Center,85417767,graceparkwh@gmail.com,"171 3RD ST CORNER 9TH AVE GRACE
PARK EAST BGY 108",CALOOCAN CITY,31/12/2025,G,"Augustus D. Mamaril, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1180,"Harapin Ang Bukas Health 
Center",84207308,rizacastro@yahoo.com,"2 NEPTALI GONZALES ST BRGY
HARAPIN ANG BUKAS",MANDALUYONG CITY,31/12/2025,G,"Riza L. Castro, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1181,Health And Wellness Center,86517800,hwc@doh.gov.ph,"BLDG 12 SAN LAZARO COMPOUND
RIZAL AVE","SANTA CRUZ, MANILA",31/12/2027,G,"Danica Ann De Guzman, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1182,"Healthmax Medical And 
Diagnostic",72570682,healthmaxdiagnostic@gmail.com,"GROUND FLOOR EXT. MARC BUILDING
1971 TAFT AVENUE,","MALATE, MANILA",31/12/2027,P,"Maria Dolores V. Tay, M.D",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1183,Healthway Qualimed Manila,8708-0000,mjbautista.mnl@qualimed.com.ph,"UPM-PGH FACULTY MAB, PGH
COMPOUND, TAFT AVE.,","ERMITA, MANILA",31/12/2026,P,Dr. Vincent S. De Leon,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1186,"Hmc, Inc.",7206152,chavez.km@healthway.com.ph,"5F WELLNESS ZONE SHANGRILA PLAZA
MALL EDSA CORNER",MANDALUYONG CITY,31/12/2025,P,"Jodor Rey Anonuevo Lim, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1187,Hpn Medical Dispensary,02-5231907,"hpnmedicaldispensary2022@gmail.
com",2335 ROXAS BLVD,"MALATE, MANILA",31/12/2027,G,"Geomar Chris B. Bangcal, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1189,"Innovations For Community 
Health,",7907-4921,kalingahealth.mandaluyong@innov ationsch.org,"UNIT 204 ONE SULATAN TWR 1
SULATAN ST BRGY MALAMIG",MANDALUYONG CITY,31/12/2025,P,"Jason V. Alacapa, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1192,"Isla Health Station/ City 
Government",8352-1000,valenzuelahealth@gmail.com,ISLA ROAD,VALENZUELA CITY,31/12/2025,G,"Don Karlo Nabus, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1197,"Justice Jose Abad Santos 
General",028-2542453,justicejasgen.official@yahoo.com,"NUMANCIA ST.,","BINONDO, MANILA",31/12/2025,G,"Dr. Merle D. Sacdalan-
Faustino",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1199,"Inc.Karuhatan 3S Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,PADRIGAL STREET KARUHATAN,VALENZUELA CITY,31/12/2025,G,"Ma. Cecilia Aquino, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1200,"Government Of Valenzuelalawang Bato Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,MULAWINAN STREET LAWANG BATO,VALENZUELA CITY,31/12/2025,G,"Carlo A. Delos Angeles, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1201,"Government Of Valenzuelalingunan 3S Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,P GREGORIO STREET LINGUNAN,VALENZUELA CITY,31/12/2025,G,"Jireh Concepcion, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1203,"Loveyourself, Inc.",02-2754585,info@loveyourself.ph,"715 A-UNIT 7 ANGLO BLDG. 3RD
FLOOR, BRGY WACK-WACK",MANDALUYONG CITY,31/12/2025,P,"Winston C. Fopalan, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1205,M. Earnshaw Health Center,531-01315,earnshawhc.official@gmail.com,677 EARNSHAW ST BRGY 458,"SAMPALOC, MANILA",31/12/2025,G,Maria Cariza J. Regalado,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1209,"Malanday 3S Health 
Station/City",8352-1000,valenzuelahealth@gmail.com,MH DEL PILAR ST MALANDAY,VALENZUELA CITY,31/12/2025,G,"Kariza Ysobel Baruelo, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1210,"Malinta Health Center/City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,"SAINT JUDE ST, ST. JUDE SUBD.,
MALINTA",VALENZUELA CITY,31/12/2025,G,"Matty Torres, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1212,"Manotoc Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelacityhealth@gmail.com,"FAUSTO STREET MANOTOC
SUBDIVISION MARULAS",VALENZUELA CITY,31/12/2025,G,"Lilian L. Partosa, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1213,"Mapulang Lupa Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,"3102 STO ROSARIO STREET MAPULANG
LUPA",VALENZUELA CITY,31/12/2025,G,"Rae Carolyn B. Nantes, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1214,Government Of Valenzuelamaria Clara Health Center,8731-2661,mariaclarahc2020@gmail.com,"1801 MARIA CLARA ST COR
PRUDENCIO ST","SAMPALOC, MANILA",31/12/2025,G,"Gerardo A. Benitez, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1216,"Marulas 3S Health Center/City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,MARKET SITE MARULAS,VALENZUELA CITY,31/12/2025,G,"Brigitte Myr Tongco, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1219,"Maysan Main 3S Health Station/ 
City",8352-1000,valenzuelahealth@gmail.com,"MAYSAN ROAD,",VALENZUELA CITY,31/12/2025,G,"Genesis P. Marcelino, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1221,Medisureonline Inc.,8563-0689,mso.admin@medisureonline.com,"928 LUNA MENCIAS ST, BRGY
ADDITION HILLS",MANDALUYONG CITY,31/12/2025,P,"Jeffrey James Delos Santos Co,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1223,Navotas City Hospital,8374-34635,navotascityhospital@gmail.com,"M. NAVAL ST., BRGY. SAN JOSE",NAVOTAS,31/12/2027,G,Dr. Spica M. Acoba,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1224,Olayn Medical Laboratory. Inc,86552648,olaynofficial@gmail.com,"3RD FLR BDO TAFT, VITO CRUZ BLDG
2422 TAFT AVE 727","MALATE, MANILA",31/12/2026,P,"Ma. Camille F. Eugenio, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1225,Ospital Ng Malabon,8518-8602,ospitalngmalabon@yahoo.com,"F. SEVILLA BOULEVARD, TAÑONG,",MALABON,31/12/2027,G,Dr. Jennifer Jane A. Lim,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1226,"Ospital Ng Maynila Medical 
Center",8846-7629,ospitalngmaynilamedicalcenter@ya hoo.com,"PRES. QUIRINO AVE. COR. ROXAS BLVD.
MANILA","MALATE, MANILA",31/12/2025,G,"Aileen A. Lacsamana, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1227,Ospital Ng Sampaloc,8749-0207,osam@manila.gov.ph,"677 GERONIMO COR CAROLA STREET
BGY 449","SAMPALOC, MANILA",31/12/2025,G,"Aileen A. Lacsamana, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1228,Ospital Ng Tondo,8252-3942,ospitalngtondo_ont@yahoo.com,"JOSE ABAD SANTOS AVE.,","TONDO, MANILA",31/12/2025,G,Dr. Edgar D. Licup,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1231,"Palasan Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelacityhealth@gmail.com,1001 MH DEL PILAR ST. 3S PALASAN,VALENZUELA CITY,31/12/2025,G,"Joshua Genesis C. Calayan, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1232,Palomar Health Center,02-53101336,palomarhealthcenter@gmail.com,"1103 CM RECTO COR JOSE ABAD
SANTOS AVE. BRGY 259","TONDO, MANILA",31/12/2025,G,"Meilene Angeli Z. Libiran, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1234,"Parada 3S Health Station/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,S DE GUZMAN STREET PARADA,VALENZUELA CITY,31/12/2025,G,"Lilian L. Partosa, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1237,"Paso De Blas 3S Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,GEN LUIS PASO DE BLAS,VALENZUELA CITY,31/12/2025,G,"Kristianne G. Ramos, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1238,"Government Of Valenzuelapasolo 3S Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,3S PASOLO RD. PASOLO,VALENZUELA CITY,31/12/2025,G,"Ma. Melissa Mananghaya, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1240,People'S Health Center,8420-9657,hulopeoples@gmail.com,"16 SAN JOSE ST., BRGY HULO",MANDALUYONG CITY,31/12/2025,G,"Roy A. Julian, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1247,"Pinalagad Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,AREA 1 PINALAGAD MALINTA,VALENZUELA CITY,31/12/2025,G,"Andrea Marigen Gamalinda,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1251,"Polo Health Center/ City 
Government",8352-1000,valenzuelahealth@gmail.com,42 MH DEL PILAR POLO,VALENZUELA CITY,31/12/2025,G,"Daisy S. Padilla, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1252,"Of Valenzuelapremier 101 Health Care 
Management",82302766,premier101_hmi@yahoo.com,"2ND FLR VALENZUELA TOWN CENTER
MC ARTHUR HIGHWAY",VALENZUELA CITY,31/12/2025,P,"Joben G. Bearis, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1254,"Hospitalpunturin 3S Health Station/City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,155 P FAUSTINO ST PUNTURIN,VALENZUELA CITY,31/12/2025,G,"Glenn Alfred Gubatan, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1255,"Purok Iv Health Center/City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,"4208 BAUTISTA ST PUROK IV
MAPULANG LUPA",VALENZUELA CITY,31/12/2025,G,"Rae Carolyn Nantes, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1256,"Rincon Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,FELO SUBD RINCON,VALENZUELA CITY,31/12/2025,G,"Deborah Lorraine L. Esguerra,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1257,Rosario Reyes Health Center,85597798,rosarioreyeshc@gmail.com,"627 SAN ANDRES ST. MALATE BRGY
702","MALATE, MANILA",31/12/2025,G,"Maydeline Adante Bajelot-
Dangca,Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1260,San Miguel Health Center,8736-03660,sanmiguelhealthcenter@gmail.com,"3312 N PADILLA ST BGY 645, SAN
MIGUEL","SAN MIGUEL, MANILA",31/12/2025,G,"Rosalia Yumul Sion, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1261,"San Miguel Heights Health 
Center/ City Government Of 
Valenzuela",8352-1000,valenzuelahealth@gmail.com,"ROAD 1 SMH, MARULAS",VALENZUELA CITY,31/12/2025,G,"May Ronalee Mallari, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1262,San Nicolas Health Center,510-1320,"sannicolashealthcenter1@gmail.co
m",521 ASUNCION ST,"BINONDO, MANILA",31/12/2025,G,"Emily Hoseña Bonalos, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1265,"Serrano Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,"DALISAY STREET SERRANO SUBD
MARULAS",VALENZUELA CITY,31/12/2025,G,"Ma. Michelle Vita, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1266,"Sitio Kabatuhan Health Center/ 
City",8352-1000,valenzuelahealth@gmail.com,"COMPOUND I SITIO CABATUHAN GEN
T DE LEON",VALENZUELA CITY,31/12/2025,G,"Honeyvee T. Guzman, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1268,Sta. Ana Hospital,86500836,staanahospital@manila.gov.ph,NEW PANADEROS ST.,"STA. ANA, MANILA",31/12/2026,G,Dr. Grace H. Padilla,NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1270,"Tagalag 3S Health Center/ City
Government Of Valenzuela",8352-1000,valenzuelahealth@gmail.com,BALIKATAN STREET TAGALAG,VALENZUELA CITY,31/12/2025,G,"John John Perez, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1275,"Tondo Foreshore Super Health 
Center",8254-5760,tondoforeshorehc@gmail.com,PACHECO ST CORNER STA FE STS,"TONDO, MANILA",31/12/2025,G,"Marie Paz Socorro B Custodio,
Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
1277,Tondo Medical Center,8865-9000,tmcmcc2015@yahoo.com,"HONORIO LOPEZ BOULEVARD, BALUT","TONDO, MANILA",31/12/2026,G,"Maria Isabelita M. Estrella, Md",NATIONAL CAPITAL REGION & RIZAL,NCR NORTH
